url,shoe_name,brand,total_score,pros,cons,RR_verdict,awards,external_ratings,review_date,terrain,arch,use,shoe_weight,toe_drop,foot_height,Audience score,Price,Pace,Arch support,Weight lab,Drop lab,Strike pattern,Size,Midsole softness,Difference in midsole softness in cold,Toebox durability,Heel padding durability,Outsole durability,Breathability,Width / fit,Toebox width,Stiffness,Difference in stiffness in cold,Torsional rigidity,Heel counter stiffness,Heel lab,Forefoot lab,Widths available,Orthotic friendly,Season,Removable insole,Ranking,RankingPercentile,Popularity,PopularityPercentile,Rocker,Lightweight,Plate,Trail terrain,Lug depth,Heel stack lab,For heavy runners,Waterproofing
https://runrepeat.com/adidas-4dfwd,Adidas 4DFWD,Adidas,90,Bouncier than most 4D shoes; Comfortable in-shoe feel; Wider-than-average sole; Very flexible; Durable outsole; Innovative cushioning tech; Attention grabber; Sustainable,Upper stretches a lot over time; Lacks breathability; Rather heavy,"The Adidas 4DFWD impressed us from the start with its jaw-dropping midsole. Although molded as running footwear, we believe that it wins the lifestyle category for its all-day cozy steps and striking looks. With its overall performance and admirable eco-friendly make-up, this kick is a real treat for our feet. At the same time, this innovative approach to cushioning can also work for moderate running.","Top 20% in road running shoes, Top 22% in Adidas running shoes","92 / 100 from 7,941 users | 86 / 100 from 16 experts","Aug 12, 2021 - updated Oct 11, 2023",Road,Neutral,"Jogging |, Walking |, All-day wear",11.5 oz / 327g,10 mm,22.5 mm,90 Great!,$200,Daily running,Neutral,"11.9 oz / 336g, 11.5 oz / 327g","8.9 mm, 10.0 mm","Heel, Mid/forefoot",Slightly large,Firm,Small,-,Good,-,Warm,Narrow,-,Moderate,Big,Flexible,Flexible,"33.3 mm, 32.5 mm","24.4 mm, 22.5 mm",Normal,✓,All seasons,✓,#97,Top 18%,#255,Top 46%,,,,,,,,
https://runrepeat.com/adidas-4dfwd-2,Adidas 4DFWD 2,Adidas,90,Unique midsole construction; Supportive fit; Comfortable in-shoe feel; Good grip on roads; Extremely durable; Plenty flexible; Stunning design; Environmental-friendly,Not for the budget-minded; Very heavy; Not for wide feet; Some breaking-in required,"Bridging the gap between running shoes and sneakers, the Adidas 4DFWD 2 boosts an exceptional, innovative 3D-printed midsole. We found that this new version has an updated upper, a better fit, and traction, making it more convincing for running, yet still grabbing all the eyes when worn casually. What astounded us, even more, is its build that's composed of 50% recycled materials and is exceptionally long-lasting.","Top 22% in road running shoes, Top 28% in Adidas running shoes","91 / 100 from 12,895 users | 86 / 100 from 9 experts","Oct 24, 2022 - updated Oct 11, 2023",Road,Neutral,"Jogging |, Walking |, All-day wear",12.4 oz / 352g,11 mm,21 mm,90 Great!,$200,Daily running,Neutral,"12.6 oz / 356g, 12.4 oz / 352g","10.6 mm, 11.0 mm",Heel,Half size small,Firm,Small,-,-,-,Warm,Narrow,-,Moderate,Normal,Flexible,Moderate,"31.8 mm, 32.0 mm","21.2 mm, 21.0 mm",Normal,✓,All seasons,✓,#113,Top 21%,#462,Bottom 17%,,,,,,,,
https://runrepeat.com/adidas-4dfwd-3,Adidas 4DFWD 3,Adidas,88,Extremely comfortable; Excellent traction; Great 4D midsole cushion; Durable upper and outsole; Flexible and forgiving on the foot; Secure lockdown; Works great as a walking shoe; Warm and consistent in the cold; Eye-catching design; Lots of colorway options,Quite heavy; Not good for high speeds or long distances; Below average breathability; Relatively narrow toebox,"The third iteration of the Adidas 4DFWD continues to amaze us. Not just with its head-turning aesthetic charm that hooks us in, but with its soft yet vibrant touch that keeps us coming back for more. The shoe's cushy and ride courtesy of its 3D-printed 4D midsole has a nice little spring to it that brings the fun to our daily runs. With the Continental rubber on the outsole providing excellent traction to boot, the 4DFWD 3 makes a lot of good arguments to justify its price. While this creature of comfort could use a bit of a diet, it serves us well as a companion for our low-intensity runs and walks about town.",Top pick in best Adidas running shoes (2024),"93 / 100 from 5,481 users | 89 / 100 from 1 expert","Feb 26, 2024",Road,Neutral,"Jogging |, Walking |, All-day wear",Men: 12.2 oz / 345g | Women: 10.4 oz / 295g,10 mm,Men: 24 mm | Women: 23 mm,88 Great!,$200,Daily running,Neutral,"12.3 oz / 348g, 12.2 oz / 345g","9.9 mm, 10.0 mm","Heel, Mid/forefoot",True to size,Firm,Small,Good,Good,Good,Warm,Narrow,Medium,Flexible,Small,Flexible,Flexible,"32.6 mm, 34.0 mm","22.7 mm, 24.0 mm",Normal,✓,All seasons,✓,#106,Top 33%,#299,Bottom 7%,,,,,,,,
https://runrepeat.com/adidas-adistar,Adidas Adistar,Adidas,88,Stable landings; Maxed-out cushion; Relaxed and accommodating fit; Roomy toe box; Tongue stays in place; Durable; Summer-ready breathability; Recycled upper; Grippy on ice; Great for long runs,Could be more responsive; Firm for heel strikers; Heavier than most trainers; Becomes a brick in winter,"Often dubbed as Adidas' version of the Hoka Bondi, we think that the Adidas Adistar is a max-cushioned running shoe that's a no-brainer for long easy days. With its highly cushioned design, it provides ample protection from shock during impact. On top of this, it nails the hallmark stability of the past Adidas Adistar collection despite it being a neutral shoe. However, one drawback worth noting is that we found the shoe to be too firm.",,"91 / 100 from 7,934 users | 81 / 100 from 13 experts","Mar 18, 2022 - updated Oct 12, 2023",Road,Neutral,"Jogging |, Treadmill |, Walking |, All-day wear |, For beginners",Men: 11.2 oz / 318g | Women: 10 oz / 283g,6 mm,31.5 mm,88 Great!,$130,Daily running,Neutral,"11.5 oz / 325g, 11.2 oz / 318g","9.6 mm, 6.0 mm","Heel, Mid/forefoot",True to size,Balanced,Normal,Decent,Good,-,Moderate,Narrow,Medium,Moderate,Big,Stiff,Flexible,"34.4 mm, 37.5 mm","24.8 mm, 31.5 mm",Normal,✓,All seasons,✓,#241,Top 44%,#392,Bottom 29%,✓,,,,,,,
https://runrepeat.com/adidas-adistar-20,Adidas Adistar 2.0,Adidas,85,Cushioned for long miles; Supportive for a neutral shoe; Wide platform; Secure foothold; Well-padded interiors; Highly breathable; Great for casual wear; Value for money; True to size,Heavier than average; Firm heel landings,"The Adidas Adistar 2.0 is a neutral daily trainer on steroids. We could easily mistake it for a stability shoe if we wore it with our eyes closed. It's got a well-cushioned, wide, and supportive platform which, in our opinion, works best for those easy recovery days. If we look past its disturbingly heavy setup, we can claim the Adistar 2.0 as a solid daily running option.","Top pick in best running shoes for plantar fasciitis (2023), Top pick in best running shoes with a wide toebox (2023)","88 / 100 from 5,466 users | 88 / 100 from 1 expert","Jun 20, 2023",Road,Neutral,"Jogging |, Treadmill |, Walking |, All-day wear |, For beginners",11.6 oz / 328g,6 mm,27 mm,85 Good!,$130,Daily running,Neutral,"11.6 oz / 328g, 11.6 oz / 328g","8.0 mm, 6.0 mm","Heel, Mid/forefoot",Half size small,Balanced,Normal,Bad,-,-,Breathable,Narrow,Wide,Moderate,Big,Stiff,Stiff,"33.8 mm, 33.0 mm","25.8 mm, 27.0 mm",Normal,✓,"Summer, All seasons",✓,#382,Bottom 31%,#553,Bottom 1%,✓,,,,,,,
https://runrepeat.com/adidas-adistar-3,Adidas Adistar 3,Adidas,88,Amazing weight reduction; Better running experience than v2; Reasonably priced; Suitable for walking; Cushions long runs; Breathable upper; Exceptional all-around comfort,No more Continental; Lacks energy return; Upper needs better durability,"The Adidas Adistar 3 introduces significant changes, featuring increased bounce and a lighter design—we really noticed these improvements on our runs. However, it does come with substantial drawbacks; the stability is reduced, and the superior Continental outsole, known for its durability and grip, is missing. Despite these issues, it remains a cost-effective option, even more affordable than the Pegasus!","Top 30% in running shoes for walking, Top 18% in running shoes for beginners","93 / 100 from 1,731 users | 89 / 100 from 2 experts","Aug 28, 2024 - updated May 25, 2025",Road,Neutral,"Jogging |, Treadmill |, Walking |, All-day wear |, For beginners",Men: 9.5 oz / 270g | Women: 8.3 oz / 235g,5 mm,35 mm,88 Great!,$130,Daily running,Neutral,"9.7 oz / 274g, 9.5 oz / 270g","10.5 mm, 5.0 mm",Heel,True to size,Soft,Normal,Bad,Decent,Good,Breathable,Medium,Medium,Flexible,Normal,Stiff,Stiff,"40.7 mm, 40.0 mm","30.2 mm, 35.0 mm",Normal,✓,"Summer, All seasons",✓,#105,Top 33%,#238,Bottom 26%,✗,✗,,,,,,
https://runrepeat.com/adidas-adizero-adios-7,Adidas Adizero Adios 7,Adidas,81,Snappy ride; Great for fast track workouts; Well ventilated; Amazing ground feel; Lighter than ever; The outsole lasts forever; Grippy Continental rubber; Modestly priced,Not for cold weather; Heel slippage; Needs more Lightstrike Pro; Ride is too firm,"The Adizero Adios from Adidas is a no-fuss traditional racing flat that remains that way in its 7th iteration. Its low-stack firm ride took us back to the good ol' days before the dominance of super shoes. Only this time around, we noticed in the lab that it comes with a chunk of ultra-reactive, bouncy Lightstrike Pro foam located in the forefoot.",,"80 / 100 from 6,480 users | 84 / 100 from 6 experts","Jul 28, 2022 - updated Oct 11, 2023",Road,Neutral,Treadmill,7.5 oz / 212g,8 mm,19 mm,81 Good!,$130,Tempo,Neutral,"7.5 oz / 212g, 7.5 oz / 212g","8.7 mm, 8.0 mm","Heel, Mid/forefoot",Slightly small,Balanced,Normal,-,-,-,Breathable,Medium,Narrow,Moderate,Small,Stiff,Flexible,"31.6 mm, 27.0 mm","22.9 mm, 19.0 mm",Normal,✓,"Summer, All seasons",✓,#465,Bottom 16%,#527,Bottom 5%,✗,✓,,,,,,
https://runrepeat.com/adidas-adizero-adios-8,Adidas Adizero Adios 8,Adidas,89,Extremely breathable; Snappy and speedy ride; Suitable for tempo runs and long distances; Fits wider feet; Secure lockdown; Grippy and durable outsole; Budget friendly for a race-ready shoe at $130,Could be lighter; Not for harsh winter days; Noisy,"The Adizero Adios line may have fallen out of favor since its marathon record-breaking early days, but in our opinion, the Adios 8 is definitely a step in the right direction in bringing the series back into the good graces of performance runners. This shoe delivers an old-school, nimble ride that reminds us of simpler times before the proliferation of carbon-plated super shoes on the starting line.","Top pick in best running shoes with a wide toebox (2023), Top 24% in road running shoes, Top 29% in Adidas running shoes","92 / 100 from 3,999 users | 84 / 100 from 12 experts","Jul 24, 2023 - updated May 25, 2025",Road,Neutral,Treadmill,7 oz / 198g,8 mm,20 mm,89 Great!,$130,Tempo,Neutral,"7.4 oz / 210g, 7 oz / 198g","7.6 mm, 8.0 mm",Mid/forefoot,True to size,Soft,Small,Bad,Decent,Good,Breathable,Medium,Wide,Flexible,Small,Flexible,Flexible,"28.0 mm, 28.0 mm","20.4 mm, 20.0 mm",Normal,✓,"Summer, All seasons",✓,#122,Top 22%,#471,Bottom 15%,,✓,,,,,,
https://runrepeat.com/adidas-adizero-adios-9,Adidas Adizero Adios 9,Adidas,88,"Full Lightstrike Pro superfoam; Incredibly lightweight and fun; Great for tempo sessions; Works as a plateless 5K/10K racer; Durable, grippy outsole; Excellent value; Ideal for track workouts",Not stable at all; Tapered toebox; Not ideal for heel strikers; Upper lacks airflow,"The Adidas Adizero Adios 9 is a bold revamp that channels the spirit of old-school racing flats while borrowing supershoe-grade elements from the Adios Pro 4—same upper, same foam, same outsole. What sets it apart from its cousin is the much lower stack height, the absence of a carbon plate, and a more affordable price. We loved that it offers an exciting ride, yet falls short in terms of stability and long-distance versatility.",,94 / 100 from 508 users | 85 / 100 from 4 experts,"May 13, 2025",Road,Neutral,,Men: 6.2 oz / 176g | Women: 5.1 oz / 144g,7 mm,21 mm,88 Great!,$140,"Competition, Tempo",Neutral,"6.2 oz / 176g, 6.2 oz / 176g","6.2 mm, 7.0 mm",Mid/forefoot,Slightly small,Soft,Small,Bad,Good,Good,Warm,Medium,Narrow,-,-,Flexible,Flexible,"25.0 mm, 28.0 mm","18.8 mm, 21.0 mm",Normal,✓,All seasons,✓,#107,Top 34%,#244,Bottom 24%,✗,✓,,,,,,
https://runrepeat.com/adidas-adizero-adios-pro-20,Adidas Adizero Adios Pro 2.0,Adidas,92,Breathable; Responsive; Carbon rods; Soft midsole; Laces stay tight; Price,Runs narrow; Unstable at slow speeds,"Top-tier race shoe from Adidas gets an update. I can't heap enough praise on the Adidas Adizero Adios Pro 2.0 for granting me a sweet sweet ride during my runs: soft yet responsive cushioning with fantastic stability. With its carbon rod (and plate) design and Lightstrike Pro midsole, no wonder it earned world records.","Top 5% in road running shoes, Top 6% in Adidas running shoes","93 / 100 from 6,980 users | 88 / 100 from 15 experts","Jun 30, 2021 - updated Jul 6, 2023",Road,Neutral,,7.6 oz / 215g,10 mm,29.5 mm,92 Superb!,$220,Competition,Neutral,"7.9 oz / 223g, 7.6 oz / 215g","10.3 mm, 10.0 mm",Heel,True to size,-,-,-,-,-,-,Narrow,-,Stiff,Small,Stiff,Flexible,"40.0 mm, 39.5 mm","29.7 mm, 29.5 mm",Normal,✗,-,✗,#21,Top 4%,#513,Bottom 8%,✓,✓,Carbon plate,,,,,
