shoe_name,url,brand,review_date,price,total_score,audience_score,user_rating,expert_rating,ranking,popularity,ranking_percentile,popularity_percentile,pros,cons,awards,rr_verdict,num_pros,num_cons,num_awards,user_review_count,expert_review_count,terrain,arch,arch_support,use,pace,season,shoe_weight_g,toe_drop_mm,foot_height_mm,heel_stack_lab,heel_lab,forefoot_lab,midsole_softness,difference_in_midsole_softness_in_cold,stiffness,difference_in_stiffness_in_cold,torsional_rigidity,heel_counter_stiffness,toebox_durability,heel_padding_durability,outsole_durability,breathability,lightweight,plate,rocker,waterproofing,size,width_fit,toebox_width,widths_available,orthotic_friendly,for_heavy_runners,drop_mm,drop_lab,weight_lab,strike_pattern,trail_terrain,lug_depth,has_carbon_plate,removable_insole,toe_drop,foot_height,shoe_weight
Adidas 4DFWD,https://runrepeat.com/adidas-4dfwd,Adidas,2021-08-12,200.0,90.0,90.0,92.0,86.0,97.0,255.0,Top 18%,Top 46%,"['Bouncier than most 4D shoes', ' Comfortable in-shoe feel', ' Wider-than-average sole', ' Very flexible', ' Durable outsole', ' Innovative cushioning tech', ' Attention grabber', ' Sustainable']","['Upper stretches a lot over time', ' Lacks breathability', ' Rather heavy']","['Top 20% in road running shoes', ' Top 22% in Adidas running shoes']","The Adidas 4DFWD impressed us from the start with its jaw-dropping midsole. Although molded as running footwear, we believe that it wins the lifestyle category for its all-day cozy steps and striking looks. With its overall performance and admirable eco-friendly make-up, this kick is a real treat for our feet. At the same time, this innovative approach to cushioning can also work for moderate running.",8,3,2,7941.0,16.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,327.0,10.0,22.5,,"33.3 mm, 32.5 mm","24.4 mm, 22.5 mm",Firm,Small,Moderate,Big,Flexible,Flexible,-,Good,-,Warm,,,,,Slightly large,Narrow,-,Normal,✓,,9.45,"8.9 mm, 10.0 mm","11.9 oz / 336g, 11.5 oz / 327g","Heel, Mid/forefoot",,,False,✓,10 mm,22.5 mm,11.5 oz / 327g
Adidas 4DFWD 2,https://runrepeat.com/adidas-4dfwd-2,Adidas,2022-10-24,200.0,90.0,90.0,91.0,86.0,113.0,462.0,Top 21%,Bottom 17%,"['Unique midsole construction', ' Supportive fit', ' Comfortable in-shoe feel', ' Good grip on roads', ' Extremely durable', ' Plenty flexible', ' Stunning design', ' Environmental-friendly']","['Not for the budget-minded', ' Very heavy', ' Not for wide feet', ' Some breaking-in required']","['Top 22% in road running shoes', ' Top 28% in Adidas running shoes']","Bridging the gap between running shoes and sneakers, the Adidas 4DFWD 2 boosts an exceptional, innovative 3D-printed midsole. We found that this new version has an updated upper, a better fit, and traction, making it more convincing for running, yet still grabbing all the eyes when worn casually. What astounded us, even more, is its build that's composed of 50% recycled materials and is exceptionally long-lasting.",8,4,2,12895.0,9.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,352.0,11.0,21.0,,"31.8 mm, 32.0 mm","21.2 mm, 21.0 mm",Firm,Small,Moderate,Normal,Flexible,Moderate,-,-,-,Warm,,,,,Half size small,Narrow,-,Normal,✓,,10.8,"10.6 mm, 11.0 mm","12.6 oz / 356g, 12.4 oz / 352g",Heel,,,False,✓,11 mm,21 mm,12.4 oz / 352g
Adidas 4DFWD 3,https://runrepeat.com/adidas-4dfwd-3,Adidas,2024-02-26,200.0,88.0,88.0,93.0,89.0,106.0,299.0,Top 33%,Bottom 7%,"['Extremely comfortable', ' Excellent traction', ' Great 4D midsole cushion', ' Durable upper and outsole', ' Flexible and forgiving on the foot', ' Secure lockdown', ' Works great as a walking shoe', ' Warm and consistent in the cold', ' Eye-catching design', ' Lots of colorway options']","['Quite heavy', ' Not good for high speeds or long distances', ' Below average breathability', ' Relatively narrow toebox']",['Top pick in best Adidas running shoes (2024)'],"The third iteration of the Adidas 4DFWD continues to amaze us. Not just with its head-turning aesthetic charm that hooks us in, but with its soft yet vibrant touch that keeps us coming back for more. The shoe's cushy and ride courtesy of its 3D-printed 4D midsole has a nice little spring to it that brings the fun to our daily runs. With the Continental rubber on the outsole providing excellent traction to boot, the 4DFWD 3 makes a lot of good arguments to justify its price. While this creature of comfort could use a bit of a diet, it serves us well as a companion for our low-intensity runs and walks about town.",10,4,1,5481.0,1.0,Road,Neutral,Neutral,"['Jogging ', ' Walking ', ' All-day wear']",['Daily running'],All seasons,345.0,10.0,24.0,,"32.6 mm, 34.0 mm","22.7 mm, 24.0 mm",Firm,Small,Flexible,Small,Flexible,Flexible,Good,Good,Good,Warm,,,,,True to size,Narrow,Medium,Normal,✓,,9.95,"9.9 mm, 10.0 mm","12.3 oz / 348g, 12.2 oz / 345g","Heel, Mid/forefoot",,,False,✓,10 mm,Men: 24 mm | Women: 23 mm,Men: 12.2 oz / 345g | Women: 10.4 oz / 295g
Adidas Adistar,https://runrepeat.com/adidas-adistar,Adidas,2022-03-18,130.0,88.0,88.0,91.0,81.0,241.0,392.0,Top 44%,Bottom 29%,"['Stable landings', ' Maxed-out cushion', ' Relaxed and accommodating fit', ' Roomy toe box', ' Tongue stays in place', ' Durable', ' Summer-ready breathability', ' Recycled upper', ' Grippy on ice', ' Great for long runs']","['Could be more responsive', ' Firm for heel strikers', ' Heavier than most trainers', ' Becomes a brick in winter']",[''],"Often dubbed as Adidas' version of the Hoka Bondi, we think that the Adidas Adistar is a max-cushioned running shoe that's a no-brainer for long easy days. With its highly cushioned design, it provides ample protection from shock during impact. On top of this, it nails the hallmark stability of the past Adidas Adistar collection despite it being a neutral shoe. However, one drawback worth noting is that we found the shoe to be too firm.",10,4,1,7934.0,13.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],All seasons,318.0,6.0,31.5,,"34.4 mm, 37.5 mm","24.8 mm, 31.5 mm",Balanced,Normal,Moderate,Big,Stiff,Flexible,Decent,Good,-,Moderate,,,✓,,True to size,Narrow,Medium,Normal,✓,,7.8,"9.6 mm, 6.0 mm","11.5 oz / 325g, 11.2 oz / 318g","Heel, Mid/forefoot",,,False,✓,6 mm,31.5 mm,Men: 11.2 oz / 318g | Women: 10 oz / 283g
Adidas Adistar 2.0,https://runrepeat.com/adidas-adistar-20,Adidas,2023-06-20,130.0,85.0,85.0,88.0,88.0,382.0,553.0,Bottom 31%,Bottom 1%,"['Cushioned for long miles', ' Supportive for a neutral shoe', ' Wide platform', ' Secure foothold', ' Well-padded interiors', ' Highly breathable', ' Great for casual wear', ' Value for money', ' True to size']","['Heavier than average', ' Firm heel landings']","['Top pick in best running shoes for plantar fasciitis (2023)', ' Top pick in best running shoes with a wide toebox (2023)']","The Adidas Adistar 2.0 is a neutral daily trainer on steroids. We could easily mistake it for a stability shoe if we wore it with our eyes closed. It's got a well-cushioned, wide, and supportive platform which, in our opinion, works best for those easy recovery days. If we look past its disturbingly heavy setup, we can claim the Adistar 2.0 as a solid daily running option.",9,2,2,5466.0,1.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],"Summer, All seasons",328.0,6.0,27.0,,"33.8 mm, 33.0 mm","25.8 mm, 27.0 mm",Balanced,Normal,Moderate,Big,Stiff,Stiff,Bad,-,-,Breathable,,,✓,,Half size small,Narrow,Wide,Normal,✓,,7.0,"8.0 mm, 6.0 mm","11.6 oz / 328g, 11.6 oz / 328g","Heel, Mid/forefoot",,,False,✓,6 mm,27 mm,11.6 oz / 328g
Adidas Adistar 3,https://runrepeat.com/adidas-adistar-3,Adidas,2024-08-28,130.0,88.0,88.0,93.0,89.0,105.0,238.0,Top 33%,Bottom 26%,"['Amazing weight reduction', ' Better running experience than v2', ' Reasonably priced', ' Suitable for walking', ' Cushions long runs', ' Breathable upper', ' Exceptional all-around comfort']","['No more Continental', ' Lacks energy return', ' Upper needs better durability']","['Top 30% in running shoes for walking', ' Top 18% in running shoes for beginners']","The Adidas Adistar 3 introduces significant changes, featuring increased bounce and a lighter design—we really noticed these improvements on our runs. However, it does come with substantial drawbacks; the stability is reduced, and the superior Continental outsole, known for its durability and grip, is missing. Despite these issues, it remains a cost-effective option, even more affordable than the Pegasus!",7,3,2,1731.0,2.0,Road,Neutral,Neutral,"['Jogging ', ' Treadmill ', ' Walking ', ' All-day wear ', ' For beginners']",['Daily running'],"Summer, All seasons",270.0,5.0,35.0,,"40.7 mm, 40.0 mm","30.2 mm, 35.0 mm",Soft,Normal,Flexible,Normal,Stiff,Stiff,Bad,Decent,Good,Breathable,✗,,✗,,True to size,Medium,Medium,Normal,✓,,7.75,"10.5 mm, 5.0 mm","9.7 oz / 274g, 9.5 oz / 270g",Heel,,,False,✓,5 mm,35 mm,Men: 9.5 oz / 270g | Women: 8.3 oz / 235g
Adidas Adizero Adios 7,https://runrepeat.com/adidas-adizero-adios-7,Adidas,2022-07-28,130.0,81.0,81.0,80.0,84.0,465.0,527.0,Bottom 16%,Bottom 5%,"['Snappy ride', ' Great for fast track workouts', ' Well ventilated', ' Amazing ground feel', ' Lighter than ever', ' The outsole lasts forever', ' Grippy Continental rubber', ' Modestly priced']","['Not for cold weather', ' Heel slippage', ' Needs more Lightstrike Pro', ' Ride is too firm']",[''],"The Adizero Adios from Adidas is a no-fuss traditional racing flat that remains that way in its 7th iteration. Its low-stack firm ride took us back to the good ol' days before the dominance of super shoes. Only this time around, we noticed in the lab that it comes with a chunk of ultra-reactive, bouncy Lightstrike Pro foam located in the forefoot.",8,4,1,6480.0,6.0,Road,Neutral,Neutral,['Treadmill'],['Tempo'],"Summer, All seasons",212.0,8.0,19.0,,"31.6 mm, 27.0 mm","22.9 mm, 19.0 mm",Balanced,Normal,Moderate,Small,Stiff,Flexible,-,-,-,Breathable,✓,,✗,,Slightly small,Medium,Narrow,Normal,✓,,8.35,"8.7 mm, 8.0 mm","7.5 oz / 212g, 7.5 oz / 212g","Heel, Mid/forefoot",,,False,✓,8 mm,19 mm,7.5 oz / 212g
Adidas Adizero Adios 8,https://runrepeat.com/adidas-adizero-adios-8,Adidas,2023-07-24,130.0,89.0,89.0,92.0,84.0,122.0,471.0,Top 22%,Bottom 15%,"['Extremely breathable', ' Snappy and speedy ride', ' Suitable for tempo runs and long distances', ' Fits wider feet', ' Secure lockdown', ' Grippy and durable outsole', ' Budget friendly for a race-ready shoe at $130']","['Could be lighter', ' Not for harsh winter days', ' Noisy']","['Top pick in best running shoes with a wide toebox (2023)', ' Top 24% in road running shoes', ' Top 29% in Adidas running shoes']","The Adizero Adios line may have fallen out of favor since its marathon record-breaking early days, but in our opinion, the Adios 8 is definitely a step in the right direction in bringing the series back into the good graces of performance runners. This shoe delivers an old-school, nimble ride that reminds us of simpler times before the proliferation of carbon-plated super shoes on the starting line.",7,3,3,3999.0,12.0,Road,Neutral,Neutral,['Treadmill'],['Tempo'],"Summer, All seasons",198.0,8.0,20.0,,"28.0 mm, 28.0 mm","20.4 mm, 20.0 mm",Soft,Small,Flexible,Small,Flexible,Flexible,Bad,Decent,Good,Breathable,✓,,,,True to size,Medium,Wide,Normal,✓,,7.8,"7.6 mm, 8.0 mm","7.4 oz / 210g, 7 oz / 198g",Mid/forefoot,,,False,✓,8 mm,20 mm,7 oz / 198g
Adidas Adizero Adios 9,https://runrepeat.com/adidas-adizero-adios-9,Adidas,2025-05-13,140.0,88.0,88.0,94.0,85.0,107.0,244.0,Top 34%,Bottom 24%,"['Full Lightstrike Pro superfoam', ' Incredibly lightweight and fun', ' Great for tempo sessions', ' Works as a plateless 5K/10K racer', ' Durable', ' grippy outsole', ' Excellent value', ' Ideal for track workouts']","['Not stable at all', ' Tapered toebox', ' Not ideal for heel strikers', ' Upper lacks airflow']",[''],"The Adidas Adizero Adios 9 is a bold revamp that channels the spirit of old-school racing flats while borrowing supershoe-grade elements from the Adios Pro 4—same upper, same foam, same outsole. What sets it apart from its cousin is the much lower stack height, the absence of a carbon plate, and a more affordable price. We loved that it offers an exciting ride, yet falls short in terms of stability and long-distance versatility.",8,4,1,508.0,4.0,Road,Neutral,Neutral,[''],"['Competition', ' Tempo']",All seasons,176.0,7.0,21.0,,"25.0 mm, 28.0 mm","18.8 mm, 21.0 mm",Soft,Small,-,-,Flexible,Flexible,Bad,Good,Good,Warm,✓,,✗,,Slightly small,Medium,Narrow,Normal,✓,,6.6,"6.2 mm, 7.0 mm","6.2 oz / 176g, 6.2 oz / 176g",Mid/forefoot,,,False,✓,7 mm,21 mm,Men: 6.2 oz / 176g | Women: 5.1 oz / 144g
Adidas Adizero Adios Pro 2.0,https://runrepeat.com/adidas-adizero-adios-pro-20,Adidas,2021-06-30,220.0,92.0,92.0,93.0,88.0,21.0,513.0,Top 4%,Bottom 8%,"['Breathable', ' Responsive', ' Carbon rods', ' Soft midsole', ' Laces stay tight', ' Price']","['Runs narrow', ' Unstable at slow speeds']","['Top 5% in road running shoes', ' Top 6% in Adidas running shoes']","Top-tier race shoe from Adidas gets an update. I can't heap enough praise on the Adidas Adizero Adios Pro 2.0 for granting me a sweet sweet ride during my runs: soft yet responsive cushioning with fantastic stability. With its carbon rod (and plate) design and Lightstrike Pro midsole, no wonder it earned world records.",6,2,2,6980.0,15.0,Road,Neutral,Neutral,[''],['Competition'],-,215.0,10.0,29.5,,"40.0 mm, 39.5 mm","29.7 mm, 29.5 mm",-,-,Stiff,Small,Stiff,Flexible,-,-,-,-,✓,Carbon plate,✓,,True to size,Narrow,-,Normal,✗,,10.15,"10.3 mm, 10.0 mm","7.9 oz / 223g, 7.6 oz / 215g",Heel,,,True,✗,10 mm,29.5 mm,7.6 oz / 215g
